-8.79065e+00 -8.67492e+00 -8.55721e+00
-8.43889e+00 -8.32128e+00 -8.20566e+00
-8.09324e+00 -7.98513e+00 -7.88236e+00
-7.78588e+00 -7.69650e+00 -7.61497e+00
-7.54191e+00 -7.47787e+00 -7.42328e+00
-7.37850e+00 -7.34380e+00 -7.31935e+00
-7.30528e+00 -7.30162e+00 -7.30836e+00
-7.32540e+00 -7.35260e+00 -7.38975e+00
-7.43658e+00 -7.49278e+00 -7.55795e+00
-7.63166e+00 -7.71340e+00 -7.80261e+00
-7.89864e+00 -8.00078e+00 -8.10826e+00
-8.22022e+00 -8.33573e+00 -8.45379e+00
-8.57331e+00 -8.69315e+00 -8.81211e+00
-8.92891e+00 -9.04226e+00 -9.15081e+00
-9.25324e+00 -9.34821e+00 -9.43442e+00
-9.51064e+00 -9.57572e+00 -9.62863e+00
-9.66846e+00 -9.69448e+00 -9.70615e+00
-9.70313e+00 -9.68528e+00 -9.65271e+00
-9.60576e+00 -9.54496e+00 -9.47110e+00
-9.38514e+00 -9.28821e+00 -9.18160e+00
-9.06672e+00 -8.94507e+00 -8.81820e+00
-8.68771e+00 -8.55517e+00 -8.42214e+00
-8.29013e+00 -8.16056e+00 -8.03477e+00
-7.91402e+00 -7.79942e+00 -7.69200e+00
-7.59265e+00 -7.50215e+00 -7.42118e+00
-7.35029e+00 -7.28993e+00 -7.24047e+00
-7.20215e+00 -7.17516e+00 -7.15961e+00
-7.15551e+00 -7.16283e+00 -7.18147e+00
-7.21126e+00 -7.25197e+00 -7.30334e+00
-7.36501e+00 -7.43660e+00 -7.51764e+00
-7.60761e+00 -7.70591e+00 -7.81188e+00
-7.92478e+00 -8.04378e+00 -8.16798e+00
-8.29638e+00 -8.42790e+00 -8.56136e+00
-8.69552e+00 -8.82904e+00 -8.96050e+00
-9.08845e+00 -9.21137e+00 -9.32773e+00
-9.43601e+00 -9.53469e+00 -9.62235e+00
-9.69760e+00 -9.75924e+00 -9.80616e+00
-9.83749e+00 -9.85254e+00 -9.85088e+00
-9.83231e+00 -9.79694e+00 -9.74510e+00
-9.67742e+00 -9.59479e+00 -9.49830e+00
-9.38927e+00 -9.26920e+00 -9.13972e+00
-9.00257e+00 -8.85954e+00 -8.71247e+00
-8.56317e+00 -8.41342e+00 -8.26492e+00
-8.11931e+00 -7.97807e+00 -7.84260e+00
-7.71414e+00 -7.59380e+00 -7.48257e+00
-7.38128e+00 -7.29063e+00 -7.21120e+00
-7.14347e+00 -7.08779e+00 -7.04443e+00
-7.01354e+00 -6.99522e+00 -6.98948e+00
-6.99627e+00 -7.01547e+00 -7.04690e+00
-7.09033e+00 -7.14546e+00 -7.21197e+00
-7.28943e+00 -7.37738e+00 -7.47530e+00
-7.58259e+00 -7.69856e+00 -7.82245e+00
-7.95342e+00 -8.09052e+00 -8.23270e+00
-8.37883e+00 -8.52764e+00 -8.67777e+00
-8.82777e+00 -8.97609e+00 -9.12108e+00
-9.26105e+00 -9.39425e+00 -9.51891e+00
-9.63329e+00 -9.73568e+00 -9.82446e+00
