time,original
395,9.10357e-08
396,1.1396400000000001e-07
397,8.728139999999998e-08
398,4.21297e-08
399,8.331019999999998e-08
400,1.08784e-07
401,1.1610600000000001e-07
402,2.68392e-08
403,1.40299e-07
404,2.0838800000000003e-07
405,2.5106400000000003e-07
406,6.21649e-08
407,9.191111562037331e-08
408,1.54127e-07
409,2.51029e-07
410,1.2985e-07
411,5.00035e-08
412,7.83023e-08
413,8.87684839834076e-08
414,1.0106e-07
415,1.6095400000000003e-07
416,5.51041e-08
417,7.87201e-08
418,7.23063e-08
419,5.30573e-08
420,5.71027e-08
421,3.5341e-08
422,3.9608005946286936e-08
423,5.16443e-08
424,1.0813800000000001e-07
425,3.0630000000000004e-08
426,4.126451828968424e-08
427,6.35879e-08
428,9.87378e-08
429,8.166739999999998e-08
430,5.60605e-08
431,3.00886e-08
432,6.14663e-08
433,6.51724e-08
434,1.0004500000000001e-07
435,7.12556e-08
436,2.12785e-07
437,5.20222e-08
438,1.9687700000000002e-07
439,5.98161e-08
440,1.59018e-07
441,1.0075000000000001e-07
442,1.4148000000000002e-07
443,8.42779e-08
444,8.62064e-08
445,5.70784e-08
446,2.79504e-08
447,8.34624e-08
448,2.53617e-08
449,1.22031e-07
450,1.7369500000000002e-07
451,1.6300758310461659e-07
452,1.3752238843145538e-07
453,1.07105e-07
454,6.82626e-08
455,4.94988e-08
456,4.0180800000000003e-08
457,7.370639999999998e-08
458,1.07232e-07
459,4.32564e-08
460,3.29971417340832e-08
461,2.8004293068723057e-08
462,2.09993e-08
463,6.2867999999999994e-09
464,1.1276415287855651e-08
465,2.50623e-08
466,8.354639999999998e-08
467,9.29409e-08
468,4.22094e-08
469,1.6797359906953223e-08
470,5.582059999999999e-09
471,3.67945e-08
472,4.7772200000000003e-08
473,5.618355895247152e-08
474,6.32313e-08
475,7.050406388530543e-08
476,7.451539999999998e-08
477,2.61024e-08
478,5.586839999999999e-09
479,8.43387473341561e-09
480,1.5428850600246838e-08
481,2.4252575100370253e-08
482,3.2585855733662446e-08
483,3.81095e-08
484,4.06654e-08
485,3.315121111111111e-08
486,1.919628888888889e-08
487,1.16821e-08
488,3.3191449999999994e-08
489,5.4700800000000004e-08
490,4.8640378125e-08
491,3.530745e-08
492,2.1974521874999996e-08
493,1.59141e-08
494,1.6904433333333335e-08
495,1.938026666666667e-08
496,2.259885e-08
497,2.5817433333333334e-08
498,2.8293266666666677e-08
499,2.92836e-08
500,2.21987e-08
501,3.7184684375e-08
502,7.015385e-08
503,1.0312301562500001e-07
504,1.1810900000000002e-07
505,3.77654e-08
506,1.8816e-08
507,5.54887e-09
508,9.427785185185183e-09
509,1.663148481481482e-08
510,2.05104e-08
511,1.90438e-08
512,7.29191e-08
513,8.052369999999998e-08
514,5.72646e-08
515,3.179186951201591e-08
516,1.7175e-08
517,7.11524e-08
518,5.9211e-08
519,5.00514e-08
520,5.40431e-08
521,4.610613703703704e-08
522,3.136606296296296e-08
523,2.34291e-08
524,4.3315900000000003e-08
525,6.37733e-08
526,4.44125e-08
527,8.87253e-08
528,8.606917788922536e-08
529,8.040754466733963e-08
530,7.52005e-08
531,7.17472e-08
532,4.1943300000000003e-08
533,6.06154e-08
534,4.97672e-08
535,8.239309999999998e-08
536,6.63461185185185e-08
537,3.654458148148148e-08
538,2.04976e-08
539,6.77777e-08
540,7.552423805408164e-08
541,8.40393e-08
542,1.8326400000000002e-07
543,2.5767100000000003e-07
544,2.42222e-07
545,2.0856600000000002e-07
546,1.40904e-07
547,1.1583300000000002e-07
548,1.90371e-07
549,2.39691e-07
550,2.3818900000000002e-07
551,3.26394e-07
552,1.06837e-07
553,1.5345500000000002e-07
554,1.364e-07
555,1.9996400000000003e-07
556,1.8765100000000002e-07
557,5.7148e-07
558,1.63044e-07
559,9.01159e-08
560,6.80407e-08
561,1.3412800000000002e-07
562,1.76367e-07
563,1.40132e-07
564,1.1663100000000001e-07
565,1.54161e-07
566,2.3507500000000003e-07
567,1.32441e-07
568,1.6619900000000002e-07
569,3.3749000000000004e-07
570,9.9493e-08
571,1.1588900000000001e-07
572,1.3193600000000002e-07
573,1.34532e-07
574,4.7638200000000004e-07
575,3.64251e-07
576,2.54454e-07
577,1.88598e-07
578,1.57783e-07
