file,group,rank,mDEratio,mL,mEN,mTT,mLAM
b2_1732+38A_lc_liner.csv,Mid,86,15.402784005855173,9.408833270411463,2.331795323210064,13.830212614415334,0.890339091490723
1ES2344+514_lc_liner.csv,Mid,87,15.305190667736689,6.216477482812413,2.311076715250894,7.184097463855535,0.8410783055198973
3c279_lc_liner.csv,Mid,88,15.29839534892523,7.432177758382332,1.5172083362747382,10.640443601696012,0.83818271483171
b2_1215+30_lc_liner.csv,Mid,89,15.296545472429749,3.6636160386734873,1.6321828112639427,3.972095680843376,0.6603191875226696
pks2149-306_lc_liner.csv,Mid,90,15.269620575838433,9.000201561438542,2.361498453072494,11.997437820882013,0.8631810593413265
3c454.3_lc_liner.csv,Mid,91,15.164464975524988,10.708024163836493,2.505825415840616,16.362001478737568,0.8658261196838539
pmn_j2345-1555_lc_liner.csv,Mid,92,14.992325199002115,6.804132948735952,2.119096970352877,8.986142520472994,0.8586525759577279
pks0250-225_lc_liner.csv,Mid,93,14.889873245976144,4.867449230728328,1.88537136241413,6.159249053788267,0.8668322506687046
mkn501_lc_liner.csv,Mid,94,14.779474717112093,3.346455296931256,1.4782199902371045,3.3195610870060386,0.5710727736605515
cta102_lc_liner.csv,Mid,95,14.501298642565713,9.555209713398185,2.426955675276478,14.603821151977929,0.841999732656062
pks1954-388_lc_liner.csv,Mid,96,14.45528523199446,5.927533864786248,2.099702416280233,7.615723817469335,0.8423684210526315
pks0226-559_lc_liner.csv,Low,97,14.121677033618006,8.10692985288525,2.1803414442106286,9.421175629593488,0.8103549141965679
on246_lc_liner.csv,Low,98,13.960125833227304,7.597286167129719,2.248211241949808,11.184246859289605,0.8326535982107618
s4_1030+61_lc_liner.csv,Low,99,13.926224390643153,5.881005675790718,1.9948050129556143,7.634879792888365,0.8108857250850448
pg1553+113_lc_liner.csv,Low,100,13.810883604683507,3.138158196912644,1.372694135115188,3.035216282503112,0.3556269706524375
pks0301-243_lc_liner.csv,Low,101,13.749463810803856,8.909692036969156,2.8140238424892288,8.564319151451576,0.800498298492951
s5_1044+71_lc_liner.csv,Low,102,13.609553075647275,4.372721067101137,1.539519990830256,5.90104445352961,0.8202322841272514
pks0440-00_lc_liner.csv,Low,103,13.565722677109292,10.784077316268249,2.305079632844896,15.385707726740026,0.8271698113207547
pks1622-253_lc_liner.csv,Low,104,13.250596950972714,4.871830609685417,1.9451825930770272,6.6115425038015925,0.8945918015845676
pks0736+01_lc_liner.csv,Low,105,13.134153183209207,6.429646742511215,1.9342855435293345,9.157672471012686,0.7218685341397422
b2_2308+34_lc_liner.csv,Low,106,12.7856442828547,4.849932690910764,1.8324668074621249,6.483063931447065,0.8421693264809305
pks2233-148_lc_liner.csv,Low,107,12.676552460497632,6.046734273342854,1.8968502055268976,9.02024904382484,0.7956730769230769
pks1424-41_lc_liner.csv,Low,108,12.652793745758784,3.767751043567936,1.5126966262252377,4.995104523911413,0.7491958952366365
pks2023-07_lc_liner.csv,Low,109,12.59960321509143,8.200295207722471,2.0574679054018,11.992379545017087,0.7573063973063973
pks0454-234_lc_liner.csv,Low,110,12.595239874312826,3.5222283766009364,1.3549942641938026,4.376315389363282,0.7040973290448889
pks0336-01_lc_liner.csv,Low,111,12.547084415743551,5.453761841537836,1.7809041367246037,6.926400561394651,0.7725866336633663
b2_0619+33_lc_liner.csv,Low,112,12.511259497492244,3.876455411449883,1.3968631661719766,5.181470202883951,0.8904645476772616
og050_lc_liner.csv,Low,113,12.20950696315369,4.288324403088447,1.519563771653854,5.137172114454749,0.7749793559042114
pks0426-380_lc_liner.csv,Low,114,12.194364994387996,3.514941085041547,1.4589002003043772,4.417789802041282,0.7277173913043479
pks1244-255_lc_liner.csv,Low,115,12.149616720514713,4.543921819304542,1.5674637674915417,5.677231638292532,0.75052076951354
pks0208-512_lc_liner.csv,Low,116,11.831338042042836,2.886634327815659,1.123707159708088,3.83593014743369,0.4686208192408869
b3_1343+451_lc_liner.csv,Low,117,11.79072315558802,3.83667824943167,1.5972358532272808,4.861187750280871,0.6914796152084288
s4_1144+40_lc_liner.csv,Low,118,11.78487149651532,4.181960016703858,1.7824692455378088,5.492441921793873,0.7776637842591235
mg1_j123931+0443_lc_liner.csv,Low,119,11.504277865971646,5.997585450350428,1.8337985804597925,8.201580112045752,0.7905703218912782
mg1_j021114+1051_lc_liner.csv,Low,120,11.382880034314306,5.11976965214263,1.7653015210511531,5.560557465497718,0.7107303651825913
b2_1520+31_lc_liner.csv,Low,121,11.231129083128153,3.423639145140874,1.3634127486351262,4.561868164541119,0.6501047020750048
txs0059+581_lc_liner.csv,Low,122,11.20490121988975,5.144669907343942,1.9718186526873105,6.689147140718978,0.7639296187683284
pks1510-089_lc_liner.csv,Low,123,10.982298346645068,5.259130885221617,1.592873033672999,7.645468318151033,0.7194262396438729
4c+38.41_lc_liner.csv,Low,124,10.63958135217672,4.811996900414917,1.7152913621411858,6.793683920734677,0.707469745444429
4c+01.02_lc_liner.csv,Low,125,10.564755174550957,5.193912495730323,1.7814545238853938,7.29319832104026,0.766317960807426
w_comae_lc_liner.csv,Low,126,10.3588555092868,4.007857335113789,1.6132800552983002,4.433216123784969,0.649390243902439
4c+01.28_lc_liner.csv,Low,127,10.318087738471784,3.9247859926675672,1.6417851951946445,4.84743691424028,0.6902844198338787
4c+28.07_lc_liner.csv,Low,128,10.076710175401264,7.102385035769393,2.023967329199027,9.96721767836302,0.6915230875258442
3c273_lc_liner.csv,Low,129,9.84752294970229,6.851768961124653,1.8935843955788427,10.375092904156665,0.6894944189100459
oj287_lc_liner.csv,Low,130,9.374836765754257,3.5572627304656947,1.2946008153736552,4.2424971120009465,0.629182775629916
bl_lac_lc_liner.csv,Low,131,9.25261445084918,2.715313829906498,1.040890711863891,3.45157331693286,0.5901583863544064
s5_0716+71_lc_liner.csv,Low,132,9.179449747739485,3.20203230217151,1.0209005705517746,3.9176069215222977,0.5903210057366044
s4_1749+70_lc_liner.csv,Low,133,9.052808474832863,4.765342051450856,1.4320736076748706,6.690361096369432,0.6482384493477996
pks0727-11_lc_liner.csv,Low,134,8.150485255925304,3.0546041415983534,1.2993922414525172,4.336734651997366,0.4992068887378201
pks0537-441_lc_liner.csv,Low,135,8.101014773230583,3.0653811119468624,1.2298950673355893,4.72807048507371,0.5288035450516987
ox169_lc_liner.csv,Low,136,7.904710829479669,5.221077207076135,2.119499082608772,4.946239890181085,0.6067576791808874
ton599_lc_liner.csv,Low,137,7.8202197283406045,5.729442669684781,1.8328413716493048,8.197460199480426,0.6266364225534673
