file,tau,m,mLAM,mTT,mDEratio,rank,group
pks2255-282_lc_liner.csv,8,4,0.9474452554744526,10.591988130563799,18.679442636420436,49,Mid
b3_1708+433_lc_liner.csv,6,5,0.9784857261067439,10.677200902934537,18.563003431861777,50,Mid
gb6_j0742+5444_lc_liner.csv,15,10,0.9597462514417532,17.933189655172413,18.51246076502383,51,Mid
b2_1504+37_lc_liner.csv,3,4,0.9588412088829521,7.433656957928803,18.395280812173016,52,Mid
sbs1150+497_lc_liner.csv,13,3,0.9711270410195142,10.726539589442815,18.365642784650763,53,Mid
pks1313-333_lc_liner.csv,8,4,0.9543700721355477,14.85378590078329,18.32320557256344,54,Mid
pmn_j0531-4827_lc_liner.csv,15,6,0.9825256710502612,16.704441041347625,18.288094598226284,55,Mid
h1426+428_lc_liner.csv,10,4,0.9583272727272727,5.838280903854674,18.2535041692562,56,Mid
pks2032+107_lc_liner.csv,11,5,0.9736520543760501,14.040748898678414,18.20603618361845,57,Mid
3c345_lc_liner.csv,3,5,0.9417615413486801,7.8739539748953975,18.051601481835828,58,Mid
pks1730-13_lc_liner.csv,5,4,0.9470231464290135,8.845086705202313,17.73873027372459,59,Mid
pks0514-459_lc_liner.csv,11,4,0.9368516597510373,7.402663934426229,17.736526157973348,60,Mid
s5_2007+77_lc_liner.csv,6,5,0.9396052631578947,9.22609819121447,17.584435379155124,61,Mid
pks0805-07_lc_liner.csv,5,5,0.9448650012616705,10.518258426966293,17.5411261827086,62,Mid
pks2326-502_lc_liner.csv,23,6,0.9635497835497836,20.124773960217,17.39442880005997,63,Mid
pks_b1908-201_lc_liner.csv,5,4,0.8683702273064924,5.719178082191781,17.348178415829956,64,Mid
pks_b1622-297_lc_liner.csv,7,4,0.9334039548022599,11.758896797153024,17.2903462546682,65,Mid
pks0130-17_lc_liner.csv,3,4,0.920815581253804,6.555025996533796,17.273765127624195,66,Mid
pks0402-362_lc_liner.csv,4,5,0.9269719461567493,6.89934456928839,17.209880936624526,67,Mid
4c+71.07_lc_liner.csv,4,4,0.9199145755472504,6.444132772323516,17.082627021412268,68,Mid
b2_1846+32B_lc_liner.csv,34,4,0.9276315789473685,5.227317073170732,17.066173606301938,69,Mid
pmn_j2250-2806_lc_liner.csv,7,4,0.9228763551530123,10.516028146989836,17.015796340322986,70,Mid
s4_0954+65_lc_liner.csv,3,5,0.9282185411217669,5.99530736743313,16.999310015361708,71,Mid
pks0244-470_lc_liner.csv,5,5,0.9053713806126731,11.558035714285714,16.90086106728742,72,Mid
pks_b2258-022_lc_liner.csv,29,4,0.9410350678733032,6.374521072796935,16.802097622898792,73,Mid
txs1530-131_lc_liner.csv,5,6,0.9225712822263957,8.604299363057326,16.742097723242836,74,Mid
pks0537-286_lc_liner.csv,7,5,0.9170070249959157,5.99359316604378,16.63985148815449,75,Mid
ot081_lc_liner.csv,3,4,0.8989711168959961,7.930016402405686,16.626730769080062,76,Mid
4c+14.23_lc_liner.csv,5,4,0.9084339040134718,7.432261768082664,16.55798734128457,77,Mid
pks2320-035_lc_liner.csv,2,4,0.8955223880597015,6.960832920178483,16.467604571859418,78,Mid
pks0903-57_lc_liner.csv,2,5,0.8930232558139535,6.449136276391554,16.277318343064646,79,Mid
pks0906+01_lc_liner.csv,19,6,0.9240200166805671,6.674096385542168,15.943633873376548,80,Mid
s3_0458-02_lc_liner.csv,4,5,0.8581440986823662,13.011689691817216,15.85211448290638,81,Mid
pks0502+049_lc_liner.csv,5,5,0.8909255645386116,7.410434782608696,15.738457052925298,82,Mid
4c+21.35_lc_liner.csv,13,8,0.9001151884153366,6.63030303030303,15.730346245723894,83,Mid
pks1502+106_lc_liner.csv,28,3,0.7316870144284129,4.692170818505338,15.49601195366845,84,Mid
oj248_lc_liner.csv,11,3,0.8815653964984552,5.996497373029772,15.46182070996064,85,Mid
b2_1732+38A_lc_liner.csv,8,5,0.890339091490723,7.255474452554744,15.402784005855171,86,Mid
1ES2344+514_lc_liner.csv,3,4,0.8410783055198973,5.235317618857371,15.305190667736689,87,Mid
3c279_lc_liner.csv,3,6,0.83818271483171,7.891468369123621,15.29839534892523,88,Mid
b2_1215+30_lc_liner.csv,1,4,0.6603191875226696,3.3817337461300307,15.296545472429749,89,Mid
pks2149-306_lc_liner.csv,4,4,0.8631810593413265,5.800611932687405,15.269620575838431,90,Mid
3c454.3_lc_liner.csv,8,4,0.8658261196838539,5.552292839903459,15.164464975524988,91,Mid
