file,tau,m,m_use,mD,mL,mEN,mTT,rank,group
pks0502+049_lc_liner.csv,5,5,5,0.9073053985652801,8.794253472901248,2.3905670363135103,13.095091494360423,67,Mid
txs2241+406_lc_liner.csv,10,5,5,0.9068861339686695,9.62721356026109,2.2572512135201626,14.483814640089722,68,Mid
b2_1732+38A_lc_liner.csv,8,5,5,0.9053657247163477,9.408833270411465,2.3317953232100637,13.830212614415334,69,Mid
pks0235+164_lc_liner.csv,11,4,4,0.9047559635793421,11.064309884097188,2.4603757183666866,14.69595468216906,70,Mid
pks0440-00_lc_liner.csv,7,4,4,0.9004278943943523,10.784077316268249,2.305079632844896,15.385707726740026,71,Mid
pks2320-035_lc_liner.csv,2,4,4,0.8994713281212172,12.538606921813825,3.218137550367325,15.874983235320764,72,Mid
pks0244-470_lc_liner.csv,5,5,5,0.8975992063662902,9.525763217526784,2.244722711899695,11.047475702850814,73,Mid
pks2255-282_lc_liner.csv,8,4,4,0.8928021540731699,11.855627150219345,2.4756120581951673,17.182300411491905,74,Mid
pks0805-07_lc_liner.csv,5,5,5,0.8923653153379583,6.621195249711309,2.104177887487728,9.733066049932939,75,Mid
pks0402-362_lc_liner.csv,4,5,5,0.8914165454702643,8.639183752241882,2.1332203025100047,12.573376731894536,76,Mid
pks2149-306_lc_liner.csv,4,4,4,0.8910056670744213,9.000201561438542,2.361498453072494,11.997437820882013,77,Mid
pks0903-57_lc_liner.csv,2,5,5,0.8909156753860803,13.872735159707924,3.264090948490684,16.65840543904427,78,Mid
pks0130-17_lc_liner.csv,3,4,4,0.8888899270595658,8.622264101511073,2.6631178162634663,10.825593813156589,79,Mid
b2_1846+32B_lc_liner.csv,34,4,4,0.8877991921452623,5.544972175871304,2.170906729533128,7.6124031430492165,80,Mid
txs1700+685_lc_liner.csv,3,5,5,0.8821745770948048,9.227483878704188,2.4112166840302813,11.456835191192388,81,Mid
s4_1849+67_lc_liner.csv,8,5,5,0.8816628088637921,6.683840646499043,2.1124033301407286,8.422089938374118,82,Mid
pks0906+01_lc_liner.csv,19,6,6,0.8798749215816336,6.318224526988232,2.0611490045125067,7.718765968611929,83,Mid
s3_0218+35_lc_liner.csv,9,4,4,0.876976339688483,49.93771058429022,3.3547707412714907,66.7998816293869,84,Mid
s4_0954+65_lc_liner.csv,3,5,5,0.8740785290158464,6.948405525155948,1.8145083054164437,9.724512282304355,85,Mid
on246_lc_liner.csv,8,4,4,0.871108261474606,7.597286167129719,2.2482112419498077,11.184246859289605,86,Mid
pks_b1908-201_lc_liner.csv,5,4,4,0.8619169139935507,6.26572955967986,2.0844285090276156,7.7085887831440925,87,Mid
pks_b1406-076_lc_liner.csv,26,5,5,0.8581629817595587,5.857772728883559,2.120326847717979,6.977585580667466,88,Mid
pks1622-253_lc_liner.csv,12,6,6,0.8576300629027926,4.871830609685417,1.9451825930770272,6.6115425038015925,89,Mid
4c+21.35_lc_liner.csv,13,8,8,0.8478913660343471,7.28562933644047,2.0413473290094033,10.531119664586317,90,Mid
1ES2344+514_lc_liner.csv,3,4,4,0.8339205819053814,6.216477482812413,2.311076715250894,7.184097463855535,91,Mid
pks0736+01_lc_liner.csv,8,4,4,0.8318899569031768,6.429646742511215,1.9342855435293345,9.157672471012686,92,Mid
