file,tau,m,m_use,mD,mL,mEN,mTT
s4_1800+44_lc_liner.csv,3,5,5,0.9571510866517172,17.686082614118938,2.676470471368623,26.120243166685704
s4_1849+67_lc_liner.csv,8,5,5,0.8816628088637921,6.683840646499043,2.1124033301407286,8.422089938374118
s5_0716+71_lc_liner.csv,3,4,4,0.4618346019327547,3.20203230217151,1.0209005705517746,3.9176069215222977
s5_1044+71_lc_liner.csv,21,6,6,0.6072182988070278,4.372721067101137,1.539519990830256,5.90104445352961
s5_1803+784_lc_liner.csv,2,5,5,0.5515690484370614,5.5335792833700195,2.1669687264473994,5.358591080870315
s5_2007+77_lc_liner.csv,6,5,5,0.9205335306537281,9.494035593917229,2.4908763697030247,11.042548081660343
sbs1150+497_lc_liner.csv,13,3,3,0.9860207315038192,28.883676649588363,3.3015531803365854,44.276446531478456
ton599_lc_liner.csv,8,4,4,0.75254670476616,5.729442669684781,1.8328413716493046,8.197460199480426
txs0059+581_lc_liner.csv,12,5,5,0.7916637169531034,5.144669907343942,1.9718186526873105,6.689147140718978
txs0506+056_lc_liner.csv,10,4,4,0.5261223804887589,3.072679426389768,1.1779434808542626,4.057648120013559
txs0646-176_lc_liner.csv,12,5,5,0.9802747863716077,27.22978905495441,2.6151696752826963,36.97210196307359
txs1530-131_lc_liner.csv,5,6,6,0.9190624141436737,7.5424472720906,2.16273539829976,9.50935842714928
txs1700+685_lc_liner.csv,3,5,5,0.8821745770948048,9.227483878704188,2.4112166840302813,11.456835191192388
txs2241+406_lc_liner.csv,10,5,5,0.9068861339686695,9.62721356026109,2.2572512135201626,14.483814640089722
txs2358+209_lc_liner.csv,3,5,5,0.9299051727737488,11.823028982313774,2.7966677756453864,14.178171774469229
w_comae_lc_liner.csv,3,4,4,0.6410789006090053,4.007857335113789,1.6132800552983002,4.433216123784969
