name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div,base_name,missing_rate,block_len
Logistic map (missing 0%),1,2,0.15575882460747356,0.04996995746497561,0.766776842948718,15.344756766826523,3.0831655255739023,18,0.05555555555555555,1.4419134211661557,0.1014823717948718,2.7596350265559035,20.57449948456405,310,0.0032258064516129032,Logistic map,0.0,10
Logistic map (missing 20%),1,2,0.21178416666254343,0.049965953461973606,0.7471952880839811,14.954088460508036,3.0587608151884202,24,0.041666666666666664,1.4228703879772937,0.2289696690439939,3.484261870284277,23.205417482859943,1152,0.0008680555555555555,Logistic map,0.2,10
Logistic map (missing 50%),1,2,0.2523286258443636,0.04996495246122311,0.7486827606931784,14.98415837129471,3.202407986631818,48,0.020833333333333332,1.4853543158032745,0.5186717419613343,3.995447355222038,31.618552145602493,743,0.0013458950201884253,Logistic map,0.5,10
Logistic map (missing 70%),4,2,0.38972359623823455,0.049918976229011126,0.5421414133287744,10.86042732209923,4.374746409153615,45,0.022222222222222223,1.9812078560977382,0.6367069258540412,5.245526097763049,41.365539364346006,567,0.001763668430335097,Logistic map,0.7,10
Logistic map (missing 90%),5,2,0.4007358678538951,0.049884108768161003,0.592726906416843,11.882078703091043,4.769779507133593,54,0.018518518518518517,2.128369160292595,0.7013397803968974,5.365857418111753,46.70142754645093,610,0.001639344262295082,Logistic map,0.9,10
White noise (missing 0%),1,2,0.45223367106935847,0.0499319194364566,0.38382582895633693,7.686983262175491,2.2619174198121565,8,0.125,0.6442494718897511,0.16034341044865882,2.292583303475457,21.68848272465959,1999,0.0005002501250625312,White noise,0.0,10
White noise (missing 20%),1,2,0.4144408965662678,0.04993241993683185,0.4596201072520423,9.204843423040487,2.6071184898794635,21,0.047619047619047616,1.008293509272658,0.4493660101237909,3.427315469592141,28.470892558136043,1999,0.0005002501250625312,White noise,0.2,10
White noise (missing 50%),1,2,0.33181637341518166,0.04993241993683185,0.6262216208089009,12.541383365779526,3.2461290657799022,48,0.020833333333333332,1.486598323716959,0.7176564927579813,3.997822323971188,41.18050898041131,1999,0.0005002501250625312,White noise,0.5,10
White noise (missing 70%),4,2,0.3718604761331386,0.049846185356685314,0.47334179305899654,9.496048487399698,4.23461573114695,45,0.022222222222222223,1.921863300540963,0.6598787439321611,4.784548541385227,41.94003063399041,1996,0.000501002004008016,White noise,0.7,10
White noise (missing 90%),6,2,0.39880710978765577,0.04981946843539646,0.5291593465398517,10.621537386053017,4.361238245818424,53,0.018867924528301886,1.9439304216857576,0.7056400315017871,5.033526594403831,47.449307653575026,1994,0.0005015045135406219,White noise,0.9,10
Brownian motion (missing 0%),200,2,0.17896479688369635,0.04507654320987654,0.9299408413672218,20.630260777482736,6.454519532363844,1799,0.0005558643690939411,2.5210365483422055,0.9527141761612621,8.028967109059435,168.11656408301107,1767,0.0005659309564233164,Brownian motion,0.0,10
Brownian motion (missing 20%),200,2,0.17578217087102088,0.04533765432098765,0.9414543820714256,20.76539680253393,7.224636924041375,1799,0.0005558643690939411,2.6532594795779474,0.9618023881166011,9.053120594643087,192.4840339279032,1765,0.0005665722379603399,Brownian motion,0.2,10
Brownian motion (missing 50%),200,2,0.1722367187070117,0.04537716049382716,0.9549319149515039,21.04432945030589,8.59321826416942,1799,0.0005558643690939411,2.848769703114151,0.9733713321815782,10.5965938541281,224.96269581056467,1767,0.0005659309564233164,Brownian motion,0.5,10
Brownian motion (missing 70%),200,2,0.16754004512471915,0.045538888888888886,0.9645940926897374,21.18176609541939,9.721448087431694,1799,0.0005558643690939411,2.991585491510817,0.9793149255147547,11.845712411870798,253.96290508307288,1765,0.0005665722379603399,Brownian motion,0.7,10
Brownian motion (missing 90%),200,2,0.17078362945657014,0.04563333333333333,0.9710115520926331,21.27855848267275,11.2125898156826,1799,0.0005558643690939411,3.1364022034536974,0.9834902470037605,13.331896946914826,290.1486562676189,1763,0.0005672149744753262,Brownian motion,0.9,10
Lorenz attractor (x) + noise (missing 0%),37,2,0.17572920732695319,0.04976580234075688,0.9121012066789733,18.327871023431417,7.231271704977675,458,0.002183406113537118,2.552031812355657,0.9414025426822273,8.53363271094304,155.43073058583107,1963,0.0005094243504839531,Lorenz attractor (x) + noise,0.0,10
Lorenz attractor (x) + noise (missing 20%),39,2,0.18692475613006834,0.049795593366932595,0.9221473706198757,18.518654127179044,8.105296979711742,397,0.0025188916876574307,2.642931225540588,0.9513081623061257,8.97148485594681,164.96469469967863,1961,0.0005099439061703213,Lorenz attractor (x) + noise,0.2,10
Lorenz attractor (x) + noise (missing 50%),42,2,0.19956873427645228,0.049658768771369335,0.9300346675070911,18.728508388699737,9.114588695562649,636,0.0015723270440251573,2.737131364454459,0.9570175438596491,9.580239772846777,173.17258955792684,1958,0.0005107252298263534,Lorenz attractor (x) + noise,0.5,10
Lorenz attractor (x) + noise (missing 70%),88,2,0.20507083724964023,0.049636954885243605,0.9573129064256586,19.286294025064272,9.299464668094219,483,0.002070393374741201,2.9155866690360126,0.974165105257357,10.126718606782768,185.6236087328767,1912,0.0005230125523012552,Lorenz attractor (x) + noise,0.7,10
