name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E2_8,E2_9,E2_mean,E2_last,E2_values,base_name,missing_rate,block_len,n_trials,noise_ratio
Sine wave (missing 50%),20.0,2.0,0.26180644842988066,0.0500428527701255,0.9988174608029033,19.959243038981498,32.36802114304592,1979.0,0.0005053057099545225,3.8846981684402784,0.9989194038371358,5.140219272937103,97.66929939648386,1825.0,0.000547945205479452,0.14102665673767714,0.9463489383529343,0.9971316295017119,0.9738565547406397,0.9992118885758979,0.9856135437420276,0.9923238687425038,0.9561350135360781,0.9810882494899336,0.8858595937132671,0.9810882494899336,"[0.14102665673767714, 0.9463489383529343, 0.9971316295017119, 0.9738565547406397, 0.9992118885758979, 0.9856135437420276, 0.9923238687425038, 0.9561350135360781, 0.9810882494899336]",Sine wave,0.5,10,,
Sine wave (missing 70%),20.0,2.0,0.2917598299152459,0.0500719314355678,0.9979827001253171,19.930980721395063,24.88011176022352,1979.0,0.0005053057099545225,3.7905968477881644,0.9987977707817547,5.638455123227792,107.10053808304319,1831.0,0.0005461496450027307,0.21091096928767483,0.9324566281880808,0.9933878158093274,0.9435595743143589,1.0188689478259976,1.0006414026124324,0.9739226952701002,0.9243984634401511,0.9640928975683707,0.884693266035166,0.9640928975683707,"[0.21091096928767483, 0.9324566281880808, 0.9933878158093274, 0.9435595743143589, 1.0188689478259976, 1.0006414026124324, 0.9739226952701002, 0.9243984634401511, 0.9640928975683707]",Sine wave,0.7,10,,
Sine wave (missing 90%),19.0,2.0,0.3166725408275541,0.0500866255678313,0.9979751523723278,19.92498278848493,22.91588785046729,1980.0,0.000505050505050505,3.7866354319438194,0.9985042582850864,6.027393894723911,114.40955013050821,1822.0,0.0005488474204171241,0.2651145559324305,0.9440782262307937,0.992394585141529,0.9434999783336435,0.9971869455403518,1.008113015040783,0.991982633156291,0.9531409912081104,0.9518637307385649,0.8941527401469441,0.9518637307385649,"[0.2651145559324305, 0.9440782262307937, 0.992394585141529, 0.9434999783336435, 0.9971869455403518, 1.008113015040783, 0.991982633156291, 0.9531409912081104, 0.9518637307385649]",Sine wave,0.9,10,,
White noise (missing 0%),1.0,2.0,0.45223367106935847,0.0499319194364566,0.38382582895633693,7.686983262175491,2.2619174198121565,8.0,0.125,0.6442494718897511,0.16034341044865882,2.292583303475457,21.68848272465959,1999.0,0.0005002501250625312,1.001847424999741,1.0023669528076304,0.9978125747305743,1.0005547326923112,1.0008869685375743,0.9974404191591331,1.0002259487773508,0.9984302481628266,1.0001678462569366,0.9999703462360087,1.0001678462569366,"[1.001847424999741, 1.0023669528076304, 0.9978125747305743, 1.0005547326923112, 1.0008869685375743, 0.9974404191591331, 1.0002259487773508, 0.9984302481628266, 1.0001678462569366]",White noise,0.0,10,,
White noise (missing 20%),1.0,2.0,0.4144408965662678,0.04993241993683185,0.4596201072520423,9.204843423040487,2.6071184898794635,21.0,0.047619047619047616,1.008293509272658,0.4493660101237909,3.427315469592141,28.470892558136043,1999.0,0.0005002501250625312,0.9677001386417797,0.989440465884139,0.9887049683390465,0.998830800095688,0.9976072766402678,1.0015457083775618,1.0035910673142598,1.0022171599677137,1.0029191396903594,0.994728524994535,1.0029191396903594,"[0.9677001386417797, 0.989440465884139, 0.9887049683390465, 0.998830800095688, 0.9976072766402678, 1.0015457083775618, 1.0035910673142598, 1.0022171599677137, 1.0029191396903594]",White noise,0.2,10,,
White noise (missing 50%),1.0,2.0,0.33181637341518166,0.04993241993683185,0.6262216208089009,12.541383365779526,3.2461290657799022,48.0,0.020833333333333332,1.486598323716959,0.7176564927579813,3.997822323971188,41.18050898041131,1999.0,0.0005002501250625312,0.894585986475778,0.9882588338972714,0.9991776006740218,1.0073188398879385,1.0086994187096006,1.0111444341042946,1.0100006998288407,1.0094042864000752,1.010689829366673,0.9932533254827215,1.010689829366673,"[0.894585986475778, 0.9882588338972714, 0.9991776006740218, 1.0073188398879385, 1.0086994187096006, 1.0111444341042946, 1.0100006998288407, 1.0094042864000752, 1.010689829366673]",White noise,0.5,10,,
White noise (missing 70%),4.0,2.0,0.3718604761331386,0.049846185356685314,0.47334179305899654,9.496048487399698,4.23461573114695,45.0,0.022222222222222223,1.921863300540963,0.6598787439321611,4.784548541385227,41.94003063399041,1996.0,0.000501002004008016,0.9577051887891703,1.0116807599020297,1.0129755648319578,1.010251756471937,1.0099070087590292,1.0122372769361434,1.0020466868125264,1.006696221670298,0.9994280347459903,1.0025476109910092,0.9994280347459903,"[0.9577051887891703, 1.0116807599020297, 1.0129755648319578, 1.010251756471937, 1.0099070087590292, 1.0122372769361434, 1.0020466868125264, 1.006696221670298, 0.9994280347459903]",White noise,0.7,10,,
White noise (missing 90%),6.0,2.0,0.39880710978765577,0.04981946843539646,0.5291593465398517,10.621537386053017,4.361238245818424,53.0,0.018867924528301886,1.9439304216857576,0.7056400315017871,5.033526594403831,47.449307653575026,1994.0,0.0005015045135406219,0.9779665822035537,1.0114724726744821,1.0133650194730879,1.008619198764143,1.0041980558962962,0.9977075034727669,0.9925685088909239,1.0038763818999845,1.0053752232525073,1.0016832162808607,1.0053752232525073,"[0.9779665822035537, 1.0114724726744821, 1.0133650194730879, 1.008619198764143, 1.0041980558962962, 0.9977075034727669, 0.9925685088909239, 1.0038763818999845, 1.0053752232525073]",White noise,0.9,10,,
Brownian motion (missing 0%),200.0,2.0,0.17896479688369635,0.04507654320987654,0.9299408413672218,20.630260777482736,6.454519532363844,1799.0,0.0005558643690939411,2.5210365483422055,0.9527141761612621,8.028967109059435,168.11656408301107,1767.0,0.0005659309564233164,0.7672458189659662,0.8982804106418666,0.8356595291030438,0.9449447286746726,0.9094590313375539,0.8708160761351653,0.8231719735208799,0.7468057811323567,,0.8495479186889381,,"[0.7672458189659662, 0.8982804106418666, 0.8356595291030438, 0.9449447286746726, 0.9094590313375539, 0.8708160761351653, 0.8231719735208799, 0.7468057811323567, nan]",Brownian motion,0.0,10,,
Brownian motion (missing 20%),200.0,2.0,0.17578217087102088,0.04533765432098765,0.9414543820714256,20.76539680253393,7.224636924041375,1799.0,0.0005558643690939411,2.6532594795779474,0.9618023881166011,9.053120594643087,192.4840339279032,1765.0,0.0005665722379603399,0.7503099682085971,0.893740979813385,0.8257066945769592,0.9367304854293765,0.8991827142820163,0.8688245528450668,0.7747415801194932,0.77038075739727,,0.8399522165840205,,"[0.7503099682085971, 0.893740979813385, 0.8257066945769592, 0.9367304854293765, 0.8991827142820163, 0.8688245528450668, 0.7747415801194932, 0.77038075739727, nan]",Brownian motion,0.2,10,,
