file,tau,m,mD,mL,mEN,mTT,mLAM,rank,group
txs2358+209_lc_liner.csv,3,5,0.9299051727737488,11.823028982313774,2.7966677756453864,14.178171774469229,0.9693603296900197,50,High
4c+31.03_lc_liner.csv,7,5,0.9281098437697672,12.807934638302427,2.342052636975004,13.78500044308348,0.9659849144183348,51,High
3c454.3_lc_liner.csv,8,4,0.9274113046380025,10.708024163836493,2.505825415840616,16.362001478737568,0.8658261196838539,52,High
op313_lc_liner.csv,6,4,0.9260273856156791,8.718333298524218,2.578277102237009,10.938182457453713,0.9442440401505646,53,High
3c345_lc_liner.csv,3,5,0.925883431374206,11.686460970341713,2.686757126031442,13.94477432718924,0.9417615413486801,54,High
4c+71.07_lc_liner.csv,4,4,0.92529046679024,12.758758962666366,2.59714571241128,19.398224291034133,0.9199145755472504,55,High
pks0537-286_lc_liner.csv,7,5,0.9250034671307379,6.426170729174049,2.2842766693708043,8.476820297432194,0.9170070249959157,56,High
4c+14.23_lc_liner.csv,5,4,0.9241554552573362,11.622707790039048,2.4097302983069904,17.230590713814955,0.9084339040134718,57,High
pks2142-75_lc_liner.csv,4,4,0.9218126329570062,16.728869997550696,2.648730578595183,22.749213475229006,0.9945768282662284,58,High
s5_2007+77_lc_liner.csv,6,5,0.9205335306537281,9.494035593917229,2.4908763697030247,11.042548081660343,0.9396052631578947,59,High
pks_b1622-297_lc_liner.csv,7,4,0.9198299489604664,9.882346957070297,2.571790308489569,11.685623285759103,0.9334039548022599,60,High
pks0514-459_lc_liner.csv,11,4,0.9193991666880162,9.284419759384551,2.7507988041141114,9.857428901310186,0.9368516597510373,61,High
txs1530-131_lc_liner.csv,5,6,0.9190624141436737,7.5424472720906,2.16273539829976,9.50935842714928,0.9225712822263957,62,High
pmn_j2250-2806_lc_liner.csv,7,4,0.9131727865638428,8.118429382214932,2.2866713340509297,9.909568711961162,0.9228763551530123,63,High
cta102_lc_liner.csv,10,5,0.9122575567052783,9.555209713398185,2.426955675276478,14.603821151977929,0.841999732656062,64,High
pks1454-354_lc_liner.csv,21,4,0.9111250549557391,8.297897681005104,2.3828270927171102,11.275199956720753,0.8940688940688941,65,High
pks2326-502_lc_liner.csv,23,6,0.9090399592357912,17.007114077850396,2.767577390183408,20.38152318029122,0.9635497835497836,66,High
pks0502+049_lc_liner.csv,5,5,0.9073053985652801,8.794253472901248,2.3905670363135103,13.095091494360423,0.8909255645386116,67,High
txs2241+406_lc_liner.csv,10,5,0.9068861339686695,9.62721356026109,2.2572512135201626,14.483814640089722,0.9852088167053364,68,High
b2_1732+38A_lc_liner.csv,8,5,0.9053657247163477,9.408833270411465,2.3317953232100637,13.830212614415334,0.890339091490723,69,High
pks0235+164_lc_liner.csv,11,4,0.9047559635793421,11.064309884097188,2.4603757183666866,14.69595468216906,0.905955243203255,70,High
pks0440-00_lc_liner.csv,7,4,0.9004278943943523,10.784077316268249,2.305079632844896,15.385707726740026,0.8271698113207547,71,High
pks2320-035_lc_liner.csv,2,4,0.8994713281212172,12.538606921813825,3.218137550367325,15.874983235320764,0.8955223880597015,72,High
pks0244-470_lc_liner.csv,5,5,0.8975992063662902,9.525763217526784,2.244722711899695,11.047475702850814,0.9053713806126731,73,High
pks2255-282_lc_liner.csv,8,4,0.8928021540731699,11.855627150219345,2.4756120581951673,17.182300411491905,0.9474452554744526,74,High
pks0805-07_lc_liner.csv,5,5,0.8923653153379583,6.621195249711309,2.104177887487728,9.733066049932939,0.9448650012616705,75,High
pks0402-362_lc_liner.csv,4,5,0.8914165454702643,8.639183752241882,2.1332203025100047,12.573376731894536,0.9269719461567493,76,High
pks2149-306_lc_liner.csv,4,4,0.8910056670744213,9.000201561438542,2.361498453072494,11.997437820882013,0.8631810593413265,77,High
pks0903-57_lc_liner.csv,2,5,0.8909156753860803,13.872735159707924,3.264090948490684,16.65840543904427,0.8930232558139535,78,High
pks0130-17_lc_liner.csv,3,4,0.8888899270595658,8.622264101511073,2.6631178162634663,10.825593813156589,0.920815581253804,79,High
b2_1846+32B_lc_liner.csv,34,4,0.8877991921452623,5.544972175871304,2.170906729533128,7.6124031430492165,0.9276315789473685,80,High
txs1700+685_lc_liner.csv,3,5,0.8821745770948048,9.227483878704188,2.4112166840302813,11.456835191192388,0.9523532829750145,81,High
s4_1849+67_lc_liner.csv,8,5,0.8816628088637921,6.683840646499043,2.1124033301407286,8.422089938374118,0.8937104708362614,82,High
pks0906+01_lc_liner.csv,19,6,0.8798749215816336,6.318224526988232,2.0611490045125067,7.718765968611929,0.9240200166805671,83,High
s3_0218+35_lc_liner.csv,9,4,0.876976339688483,49.93771058429022,3.3547707412714907,66.7998816293869,0.5901237593432177,84,High
s4_0954+65_lc_liner.csv,3,5,0.8740785290158464,6.948405525155948,1.8145083054164437,9.724512282304355,0.9282185411217669,85,High
on246_lc_liner.csv,8,4,0.871108261474606,7.597286167129719,2.2482112419498077,11.184246859289605,0.8326535982107618,86,High
pks_b1908-201_lc_liner.csv,5,4,0.8619169139935507,6.26572955967986,2.0844285090276156,7.7085887831440925,0.8683702273064924,87,High
pks_b1406-076_lc_liner.csv,26,5,0.8581629817595587,5.857772728883559,2.120326847717979,6.977585580667466,0.8445451886516525,88,High
pks1622-253_lc_liner.csv,12,6,0.8576300629027926,4.871830609685417,1.9451825930770272,6.6115425038015925,0.8945918015845676,89,High
4c+21.35_lc_liner.csv,13,8,0.8478913660343471,7.28562933644047,2.0413473290094033,10.531119664586317,0.9001151884153366,90,High
