time,original
335,1.2765900000000002e-07
336,9.33407e-08
337,1.9808e-07
338,1.4486900000000002e-07
339,1.43364e-07
340,1.45629e-07
341,1.7385700000000002e-07
342,1.172e-07
343,1.8492800000000003e-07
344,2.3330900000000001e-07
345,7.441549999999998e-08
346,1.25284e-07
347,1.3495e-07
348,2.19623e-07
349,2.4752800000000004e-07
350,3.3168900000000005e-07
351,4.21577e-07
352,4.4726400000000005e-07
353,4.17814e-07
354,4.932790000000001e-07
355,7.333750000000001e-07
356,7.88733e-07
357,1.06761e-06
358,9.4513e-07
359,8.30995e-07
360,1.27849e-06
361,1.51582e-06
362,1.09965e-06
363,8.54419e-07
364,5.0139e-07
365,5.908100000000001e-07
366,7.001160000000001e-07
367,8.327149999999999e-07
368,6.50557e-07
369,5.78207e-07
370,4.1813900000000004e-07
371,4.7078100000000006e-07
372,4.0055400000000003e-07
373,6.6367e-07
374,5.82373e-07
375,5.309350000000001e-07
376,5.44684e-07
377,3.9548400000000005e-07
378,6.659850000000001e-07
379,5.185150000000001e-07
380,3.9360200000000003e-07
381,5.37633e-07
382,4.7205200000000005e-07
383,4.5182600000000004e-07
384,5.25083e-07
385,6.773700000000001e-07
386,6.56194e-07
387,7.75528e-07
388,9.154920000000001e-07
389,8.907000000000001e-07
390,1.023e-06
391,4.73378e-07
392,4.98275e-07
393,5.31505e-07
394,5.8841e-07
395,5.553440000000002e-07
396,4.5713900000000005e-07
397,3.75286e-07
398,6.50027e-07
399,3.2127800000000003e-07
400,3.4945600000000006e-07
401,4.0557000000000005e-07
402,4.0634800000000003e-07
403,2.9283500000000004e-07
404,2.77445e-07
405,3.7627800000000003e-07
406,2.2606000000000003e-07
407,1.9643600000000003e-07
408,3.9937900000000005e-07
409,3.0519200000000005e-07
410,2.4823700000000003e-07
411,1.54911e-07
412,2.0632300000000001e-07
413,1.3285e-07
414,8.85748e-08
415,1.3387200000000002e-07
416,5.35799e-08
417,1.6273745e-07
418,2.71895e-07
419,2.4253200000000004e-07
420,2.44619e-07
421,3.2859e-07
422,3.0705600000000005e-07
423,3.1222200000000003e-07
424,4.98165e-07
425,4.55053e-07
426,4.6234700000000003e-07
427,3.9801400000000006e-07
428,4.29722e-07
429,2.9061200000000003e-07
430,3.7984800000000005e-07
431,4.2572600000000004e-07
432,4.7078800000000005e-07
433,5.824740000000001e-07
434,6.755210000000001e-07
435,6.557210000000001e-07
436,4.2410900000000003e-07
437,2.14329e-07
438,2.4213700000000005e-07
439,2.1440100000000002e-07
440,3.5895800000000003e-07
441,4.1276500000000003e-07
442,3.76747e-07
